Exp2 conditions: 2s, 4s, 8s, 15s, 30s
Run duration (s): 276

Trial Condition Onset Duration Image
1 2s 12 0.033333 scrambled-1294.jpg
1 2s 12.0667 0.033333 scrambled-588.jpg
1 2s 12.1333 0.033333 scrambled-508.jpg
1 2s 12.2 0.033333 scrambled-157.jpg
1 2s 12.2667 0.033333 scrambled-1422.jpg
1 2s 12.3333 0.033333 scrambled-684.jpg
1 2s 12.4 0.033333 scrambled-743.jpg
1 2s 12.4667 0.033333 scrambled-786.jpg
1 2s 12.5333 0.033333 scrambled-1187.jpg
1 2s 12.6 0.033333 scrambled-1172.jpg
1 2s 12.6667 0.033333 scrambled-1263.jpg
1 2s 12.7333 0.033333 scrambled-1167.jpg
1 2s 12.8 0.033333 scrambled-447.jpg
1 2s 12.8667 0.033333 scrambled-947.jpg
1 2s 12.9333 0.033333 scrambled-144.jpg
1 2s 13 0.033333 scrambled-1421.jpg
1 2s 13.0667 0.033333 scrambled-651.jpg
1 2s 13.1333 0.033333 scrambled-252.jpg
1 2s 13.2 0.033333 scrambled-625.jpg
1 2s 13.2667 0.033333 scrambled-187.jpg
1 2s 13.3333 0.033333 scrambled-424.jpg
1 2s 13.4 0.033333 scrambled-723.jpg
1 2s 13.4667 0.033333 scrambled-1115.jpg
1 2s 13.5333 0.033333 scrambled-759.jpg
1 2s 13.6 0.033333 scrambled-449.jpg
1 2s 13.6667 0.033333 scrambled-108.jpg
1 2s 13.7333 0.033333 scrambled-1171.jpg
1 2s 13.8 0.033333 scrambled-1025.jpg
1 2s 13.8667 0.033333 scrambled-557.jpg
1 2s 13.9333 0.033333 scrambled-107.jpg
2 4s 26 0.033333 scrambled-653.jpg
2 4s 26.1333 0.033333 scrambled-1020.jpg
2 4s 26.2667 0.033333 scrambled-3.jpg
2 4s 26.4 0.033333 scrambled-290.jpg
2 4s 26.5333 0.033333 scrambled-1086.jpg
2 4s 26.6667 0.033333 scrambled-1099.jpg
2 4s 26.8 0.033333 scrambled-1330.jpg
2 4s 26.9333 0.033333 scrambled-143.jpg
2 4s 27.0667 0.033333 scrambled-1043.jpg
2 4s 27.2 0.033333 scrambled-1066.jpg
2 4s 27.3333 0.033333 scrambled-774.jpg
2 4s 27.4667 0.033333 scrambled-569.jpg
2 4s 27.6 0.033333 scrambled-445.jpg
2 4s 27.7333 0.033333 scrambled-236.jpg
2 4s 27.8667 0.033333 scrambled-317.jpg
2 4s 28 0.033333 scrambled-343.jpg
2 4s 28.1333 0.033333 scrambled-310.jpg
